Element,Definition,FPDS Data Dictionary Element,Grouping,Domain Values,Domain Values Code Description
1862LandGrantCollege,https://www.sam.gov,1862 Land Grant College,Award Recipient,F = False T = True,
1890LandGrantCollege,https://www.sam.gov,1890 Land Grant College,Award Recipient,F = False T = True,
1994LandGrantCollege,https://www.sam.gov,1994 Land Grant College,Award Recipient,F = False T = True,
8aProgramParticipant,"List characteristic of the contractor such as whether the selected contractor is an 8(a) Program Participant Organization or not. It can be derived from the SAM data element, 'Business Types'.",8(a) Program Participant,Award Recipient,F = False T = True,
A-76 FAIR Act Action Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the A-76 FAIR Act Action Field.,,Award Attribute,Y = Yes N = No,Y = Contract action resulted from an A-76/Fair Act competitive sourcing process. N = Contract action did not result from an A-76/Fair Act competitive sourcing process.
A-76FAIRActAction,Indicates whether the contract action has resulted from an A-76/Fair Act competitive sourcing process.,A-76 (FAIR Act) Action,Award Attribute,Y = Yes N = No,Y = Contract action resulted from an A-76/Fair Act competitive sourcing process. N = Contract action did not result from an A-76/Fair Act competitive sourcing process.
AccountTitle,A descriptive name of the Treasury Account Symbol (TAS).,,Treasury Account,See https://sam.for.fiscal.treasury.gov/sampublic/tasbetc.htm (GWA TAS NAME column),
ActionDate,The date the action being reported was issued / signed by the Government or a binding agreement was reached.,Date Signed,Award Attribute,,
ActionDateFiscalYear,"The fiscal year in which the ActionDate occurs. Note that the Federal fiscal year begins on October 1 and ends on September 30, thus October 1, 2018 is the first day of the 2019 fiscal year.",,Award Attribute,,
ActionType,Code that provides information on any new (only applicable to financial assistance awards) or changes (applies to both procurement and financial assistance changes) made to the Federal prime award. There may be multiple actions for each award.Read Less,Reason for Modification,Award Attribute,"Assistance: A = New B = Continuation C = Revision D = Adjustment to Completed Project E = Aggregate Mixed Contracts: A = ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED) B = SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE C = FUNDING ONLY ACTION D = CHANGE ORDER E = TERMINATE FOR DEFAULT (COMPLETE OR PARTIAL) F = TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL) G = EXERCISE AN OPTION H = DEFINITIZE LETTER CONTRACT J = NOVATION AGREEMENT K = CLOSE OUT L = DEFINITIZE CHANGE ORDER M = OTHER ADMINISTRATIVE ACTION N = LEGAL CONTRACT CANCELLATION P = REREPRESENTATION OF NON-NOVATED MERGER/ACQUISITION R = REREPRESENTATION S = CHANGE PIID T = TRANSFER ACTION V = UNIQUE ENTITY ID (DUNS) OR LEGAL BUSINESS NAME CHANGE - NON-NOVATION W = ENTITY ADDRESS CHANGE X = TERMINATE FOR CAUSE Y = ADD SUBCONTRACT PLANRead Less",
ActionTypeDescriptionTag,Description tag that explains the meaning of the code provided in the ActionType Field.,,Award Attribute,"Assistance: A = New B = Continuation C = Revision D = Adjustment to Completed Project E = Aggregate Mixed Contracts: A = ADDITIONAL WORK (NEW AGREEMENT, JUSTIFICATION REQUIRED) B = SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE C = FUNDING ONLY ACTION D = CHANGE ORDER E = TERMINATE FOR DEFAULT (COMPLETE OR PARTIAL) F = TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL) G = EXERCISE AN OPTION H = DEFINITIZE LETTER CONTRACT J = NOVATION AGREEMENT K = CLOSE OUT L = DEFINITIZE CHANGE ORDER M = OTHER ADMINISTRATIVE ACTION N = LEGAL CONTRACT CANCELLATION P = REREPRESENTATION OF NON-NOVATED MERGER/ACQUISITION R = REREPRESENTATION S = CHANGE PIID T = TRANSFER ACTION V = UNIQUE ENTITY ID (DUNS) OR LEGAL BUSINESS NAME CHANGE - NON-NOVATION W = ENTITY ADDRESS CHANGE X = TERMINATE FOR CAUSE Y = ADD SUBCONTRACT PLANRead Less",
AdditionalReporting,This data element allows the user to select the additional reporting requirements that apply to the contract action. Multiple values can be selected if more than one requirement applies to this action.,Additional Reporting,Award Attribute,E = Employment Eligibility Verification (52.222-54) S = Service Contract Inventory (FAR 4.17) NONE = None of the Above,E = Employment Eligibility Verification (52.222-54) S = Service Contract Inventory (FAR 4.17) NONE = None of the Above
AdjustmentsToUnobligatedBalanceBroughtForward_CPE,The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Changes to unpaid obligations that occurred in a prior fiscal year and that were not recorded in the unpaid obligations as of October 1 of the current fiscal year.Read Less,,Account Resources,,
AgencyIdentifier,The agency code identifies the department or agency that is responsible for the account.,,Treasury Account,See https://files.usaspending.gov/reference_data/agency_codes.csv (CGAC AGENCY CODE column),
AgencyIdentifierName,The agency name is the department or agency that is responsible for the account.,,Treasury Account,See https://files.usaspending.gov/reference_data/agency_codes.csv (AGENCY NAME column),
AirportAuthority,https://www.sam.gov,Airport Authority,Award Recipient,F = False T = True,
AlaskanNativeCorporationOwnedFirm,https://www.sam.gov,Alaskan Native Corporation Owned Firm,Award Recipient,F = False T = True,
AlaskanNativeServicingInstitution,https://www.sam.gov,Alaskan Native Servicing Institution,Award Recipient,F = False T = True,
AllAwards,https://www.sam.gov,All Awards,Award Recipient,F = False T = True,
AllocationTransferAgencyIdentifier,The allocation agency identifies the department or agency that is receiving funds through an allocation (non-expenditure) transfer.,,Treasury Account,See https://files.usaspending.gov/reference_data/agency_codes.csv (CGAC AGENCY CODE column),
AllocationTransferAgencyName,The allocation transfer agency name is the name of the department or agency that is receiving funds through an allocation (non-expenditure) transfer.,,Treasury Account,See https://files.usaspending.gov/reference_data/agency_codes.csv (AGENCY NAME column),
AmericanIndianOwnedBusiness,"List characteristic of the contractor such as whether the selected contractor is an American Indian Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",American Indian Owned Business,Award Recipient,F = False T = True,
AsianPacificAmericanOwnedBusiness,"List characteristic of the contractor such as whether the selected contractor is an Asian-Pacific American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Asian Pacific American Owned business,Award Recipient,F = False T = True,
AssistanceListingNumber,The number assigned to an Assistance Listing in the Catalog of Federal Domestic Assistance (CFDA) and SAM.gov.,,Award Attribute,See https://files.usaspending.gov/reference_data/cfda.csv (PROGRAM NUMBER column),
AssistanceListingNumbers,A comma-separated list of numbers assigned to an Assistance Listing in the Catalog of Federal Domestic Assistance (CFDA) and SAM.gov.,,Award Attribute,See https://files.usaspending.gov/reference_data/cfda.csv (PROGRAM NUMBER column),
AssistanceListingNumbersAndTitles,The number(s) and title(s) assigned to a Federal area of work in the Catalog of Federal Domestic Assistance.,,,,
AssistanceListingTitle,The title of the Assistance Listing under which the Federal award was funded in the Catalog of Federal Domestic Assistance (CFDA) and SAM.gov.,,Award Attribute,See https://files.usaspending.gov/reference_data/cfda.csv (PROGRAM TITLE column),
AssistanceListingTitles,A comma-separated list of the title(s) corresponding to the Assistance Listing(s) under which the Federal award(s) were funded in the Catalog of Federal Domestic Assistance (CFDA) and SAM.gov.,,Award Attribute,See https://files.usaspending.gov/reference_data/cfda.csv (PROGRAM TITLE column),
AssistanceTransactionUniqueKey,"System-generated database key used to uniquely identify each financial assistance transaction record and facilitate record lookup, correction, and deletion. A concatenation of AwardingSubTierAgencyCode, FAIN, URI, AssistanceListingNumber, and AwardModificationAmendmentNumber with a single underscore ('_') character inserted in between each. If a field is blank, it is recorded as """".Read Less",,Award Attribute,,
AssistanceType,Code of the type of assistance provided by the award.,,Award Attribute,"02 = block grant (A) 03 = formula grant (A) 04 = project grant (B) 05 = cooperative agreement (B) 06 = direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid (C) 07 = direct loan (E) 08 = guaranteed/insured loan (F) 09 = insurance (G) 10 = direct payment with unrestricted use (retirement, pension, veterans benefits, etc.) (D) 11 = other reimbursable, contingent, intangible, or indirect financial assistanceRead Less","02 = Federal funds provided to a state or local government that the recipient may use at its discretion. 03 = Allocations of money to States or their subdivisions in accordance with distribution formulas prescribed by law or administrative regulation, for activities of a continuing nature not confined to a specific project. 04 = The funding, for fixed or known periods, of specific projects. Project grants can include fellowships, scholarships, research grants, training grants, traineeships, experimental and demonstration grants, evaluation grants, planning grants, technical assistance grants, survey grants, and construction grants. 05 = A legal instrument of financial assistance between a Federal awarding agency and a recipient or passthrough entity and a subrecipient that, consistent with 31 USC 6302-6305: (a) Is used to enter into a relationship the principal purpose of which is to …carry out a public purpose authorized by law ...; (b) Is distinguished from a grant in that it provides for substantial involvement of the Federal awarding agency ... See 2 CFR 200.1 (as adapted). 06 = Financial assistance from the Federal government provided directly to individuals, private firms, and other private institutions to encourage or subsidize a particular activity by conditioning the receipt of the assistance on a particular performance by the recipient. This does not include solicited contracts for the procurement of goods and services for the Federal government. 07 = Financial assistance provided through the lending of Federal monies for a specific period of time, with a reasonable expectation of repayment. Such loans may or may not require the payment of interest. 08 = Programs in which the Federal government makes an arrangement to indemnify a lender against part or all of any defaults by those responsible for repayment of loans. 09 = Financial assistance provided to assure reimbursement for losses sustained under specified conditions. Coverage may be provided directly by the Federal government or through private carriers and may or may not involve the payment of premiums. 10 = Financial assistance from the Federal government provided directly to beneficiaries who satisfy Federal eligibility requirements with no restrictions being imposed on the recipient as to how the money is spent. Included are payments under retirement, pension, and compensatory programs. 11 = Financial assistance from the Federal Government that is not described by any of the previously-defined assistance types.Read Less"
AssistanceTypeDescriptionTag,Description tag (by way of the DATA Act Broker) that explains the meaning of the code provided in the AssistanceType Field.,,Award Attribute,"02 = block grant (A) 03 = formula grant (A) 04 = project grant (B) 05 = cooperative agreement (B) 06 = direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid (C) 07 = direct loan (E) 08 = guaranteed/insured loan (F) 09 = insurance (G) 10 = direct payment with unrestricted use (retirement, pension, veterans benefits, etc.) (D) 11 = other reimbursable, contingent, intangible, or indirect financial assistanceRead Less","02 = Federal funds provided to a state or local government that the recipient may use at its discretion._x000D_ 03 = Allocations of money to States or their subdivisions in accordance with distribution formulas prescribed by law or administrative regulation, for activities of a continuing nature not confined to a specific project._x000D_ 04 = The funding, for fixed or known periods, of specific projects. Project grants can include fellowships, scholarships, research grants, training grants, traineeships, experimental and demonstration grants, evaluation grants, planning grants, technical assistance grants, survey grants, and construction grants._x000D_ 05 = A legal instrument of financial assistance between a Federal awarding agency and a recipient or passthrough entity and a subrecipient that, consistent with 31 USC 6302-6305: (a) Is used to enter into a relationship the principal purpose of which is to …carry out a public purpose authorized by law ...; (b) Is distinguished from a grant in that it provides for substantial involvement of the Federal awarding agency ... See 2 CFR 200.1 (as adapted)._x000D_ 06 = Financial assistance from the Federal government provided directly to individuals, private firms, and other private institutions to encourage or subsidize a particular activity by conditioning the receipt of the assistance on a particular performance by the recipient. This does not include solicited contracts for the procurement of goods and services for the Federal government._x000D_ 07 = Financial assistance provided through the lending of Federal monies for a specific period of time, with a reasonable expectation of repayment. Such loans may or may not require the payment of interest._x000D_ 08 = Programs in which the Federal government makes an arrangement to indemnify a lender against part or all of any defaults by those responsible for repayment of loans._x000D_ 09 = Financial assistance provided to assure reimbursement for losses sustained under specified conditions. Coverage may be provided directly by the Federal government or through private carriers and may or may not involve the payment of premiums._x000D_ 10 = Financial assistance from the Federal government provided directly to beneficiaries who satisfy Federal eligibility requirements with no restrictions being imposed on the recipient as to how the money is spent. Included are payments under retirement, pension, and compensatory programs._x000D_ 11 = Financial assistance from the Federal Government that is not described by any of the previously-defined assistance types.Read Less"
AvailabilityTypeCode,"In appropriations accounts, the availability type code identifies an unlimited period to incur new obligations; this is denoted by the letter ""X"".",,Treasury Account,X = No-Year TAS Blank = Not a No-Year TAS,
Award Or IDV Flag,Flag indicating whether the record was pulled from the award Atom feed or the IDV (Indefinite Delivery Vehicle) Atom Feed provided by FPDS.,,Award Attribute,N/A= AWARD N/A= IDV,
AwardDescription,"For procurement awards: Per the FPDS data dictionary, a brief, summary level, plain English, description of the contract, award, or modification. Additional information: the description field may also include abbreviations, acronyms, or other information that is not plain English such as that required by OMB policies (CARES Act, etc). For financial assistance awards: A plain language description of the Federal award purpose; activities to be performed; deliverables and expected outcomes; intended beneficiary(ies); and subrecipient activities if known/specified at the time of award.Read Less",Description of Requirement,Award Attribute,,
AwardeeOrRecipientLegalEntityName,"The name of the awardee or recipient that relates to the unique identifier. For U.S. based companies, this name is what the business ordinarily files in formation documents with individual states (when required).Read Less",Legal Business Name,Award Recipient,,
AwardeeOrRecipientUEI,"The Unique Entity Identifier (UEI) for an awardee or recipient. A UEI is a unique alphanumeric code used to identify a specific commercial, nonprofit, or business entity.",Unique Entity ID,,,
AwardingAgencyCode,A department or establishment of the Government as used in the Treasury Account Fund Symbol (TAFS).,,Award Source,See https://files.usaspending.gov/reference_data/agency_codes.csv (CGAC AGENCY CODE column),
AwardingAgencyName,The name associated with a department or establishment of the Government as used in the Treasury Account Fund Symbol (TAFS).,,Award Source,See https://files.usaspending.gov/reference_data/agency_codes.csv (AGENCY NAME column),
AwardingOfficeCode,"Identifier of the level n organization that awarded, executed or is otherwise responsible for the transaction.",Contracting Office Code,Award Source,Refer to the GSA IAE Federal Hierarchy from SAM.gov,
AwardingOfficeName,"Name of the level n organization that awarded, executed or is otherwise responsible for the transaction.",,Award Source,Refer to the GSA IAE Federal Hierarchy from SAM.gov,
AwardingSubTierAgencyCode,"Identifier of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",Contracting Agency Code,Award Source,See https://files.usaspending.gov/reference_data/agency_codes.csv (SUBTIER CODE column),
AwardingSubTierAgencyName,"Name of the level 2 organization that awarded, executed or is otherwise responsible for the transaction.",,Award Source,See https://files.usaspending.gov/reference_data/agency_codes.csv (SUBTIER NAME column),
AwardLatestActionDate,Represents the award latest action date.,,,,
AwardLatestActionDateFiscalYear,Represents the award latest action date for the fiscal year.,,,,
AwardModificationAmendmentNumber,The identifier of an action being reported that indicates the specific subsequent change to the initial award.,Modification Number,Award Attribute,,
BaseAndAllOptionsValue,"For the Award it is the mutually agreed upon total contract value including all options (if any). For IDVs the value is the mutually agreed upon total contract value including all options (if any) AND the estimated value of all potential orders. For modifications enter the CHANGE, positive or negative of these values, if any.Read Less",Base And All Options Value,Award Spending,,
BaseAndExercisedOptionsValue,The contract value for the base contract and any options that have been exercised.,Base And Exercised Options Value,Award Spending,,
BeginningPeriodOfAvailability,"In annual and multi-year funds, the beginning period of availability identifies the first year of availability under law that an appropriation account may incur new obligations.",,Treasury Account,,
BlackAmericanOwnedBusiness,"List characteristic of the contractor such as whether the selected contractor is a Black American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Black American Owned Business,Award Recipient,F = False T = True,
BorrowingAuthorityAmountTotal_CPE,The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Borrowing authority is a type of budget authority that permits obligations and outlays to be financed by borrowing.Read Less,,Account Resources,,
BudgetAuthorityAppropriatedAmount_CPE,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. Appropriation means a provision of law (not necessarily in an appropriations act) authorizing the expenditure of funds for a given purpose. Usually, but not always, an appropriation provides budget authority.Read Less",,Account Resources,,
BudgetAuthorityUnobligatedBalanceBroughtForward_FYB,The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below. For unexpired accounts: Amount of unobligated balance of appropriations or other budgetary resources carried forward from the preceding year and available for obligation without new action by Congress. For expired accounts: Amount of expired unobligated balances available for upward adjustments of obligations.Read Less,,Account Resources,,
BudgetFunctionTitle,"Represents the name or title of the budget function code (e.g. Agriculture, National Defense, Income Security).",,Treasury Account,,
BudgetSubFunctionTitle,"Represents the name or title of the sub function code (e.g. Farm incoming stabilization, Agriculture research and services).",,Treasury Account,,
BusinessFundsIndicator,The Business Funds Indicator sometimes abbreviated BFI. Code indicating the award's applicability to the Recovery Act.,,Award Attribute,NON = Not Recovery Act REC = Recovery Act,NON = If record is funded by other sources REC = If the funds are provided by the Recovery Act
BusinessFundsIndicatorDescriptionTag,Description tag (by way of the DATA Act Broker) that explains the meaning of the code provided in the BusinessFundsIndicator Field.,,Award Attribute,NON = Not Recovery Act REC = Recovery Act,NON = If record is funded by other sources REC = If the funds are provided by the Recovery Act
BusinessTypes,A code of a collection of indicators of different types of recipients based on socio-economic status and organization / business areas.,,Award Recipient,A = State Government B = County Government C = City or Township Government D = Special District Government E = Regional Organization F = U.S. Territory or Possession G = Independent School District H = Public/State Controlled Institution of Higher Education I = Indian/Native American Tribal Government (Federally -Recognized) J = Indian/Native American Tribal Government (Other than Federally-Recognized) K = Indian/Native American Tribal Designated Organization L = Public/Indian Housing Authority M = Nonprofit with 501C3 IRS Status (Other than an Institution of Higher Education) N = Nonprofit without 501C3 IRS Status (Other than an Institution of Higher Education) O = Private Institution of Higher Education P = Individual Q = For-Profit Organization (Other than Small Business) R = Small Business S = Hispanic-serving Institution T = Historically Black College or University (HBCU) U = Tribally Controlled College or University (TCCU) V = Alaska Native and Native Hawaiian Serving Institutions W = Non-domestic (non-U.S.) Entity X = OtherRead Less,A= The recipient is a U.S. state government. B = The recipient is a U.S. county government. C = The recipient is a U.S. city or township government. D = The recipient is a special district government. See https://www.census.gov/govs/go/special_district_governments.html for more information. E = The recipient is a U.S. regional organization. F = The recipient is a U.S. territory or possession G = The recipient is a U.S. independent school district H = The recipient is a U.S. Public/State Controlled Institution of Higher Education I = The recipient is an Indian/Native American Tribal Government (Federally Recognized) J = The recipient is an Indian/Native American Tribal Government (Other than Federally Recognized) K = The recipient is an Indian/Native American Tribal Designated Organization L = The recipient is a Public/Indian Housing Authority M = The recipient is a Nonprofit with 501C3 IRS Status (Other than an Institution of Higher Education) N = The recipient is a Nonprofit without 501C3 IRS Status (Other than an Institution of Higher Education) O = The recipient is a Private Institution of Higher Education P = The recipient is an Individual Q = The recipient is a For-Profit Organization (Other than Small Business) R = The recipient is a Small Business S = The recipient is an Hispanic-serving Institution T = The recipient is a Historically Black College and University (HBCUs) U = The recipient is a Tribally Controlled College or University (TCCUs) V = The recipient is a Alaska Native and Native Hawaiian Serving Institutions W = The recipient is a Non-domestic (non-U.S.) Entity X = The recipient is not covered under any of the other categories above.Read Less
BusinessTypesDescriptionTag,Description tag (by way of the DATA Act Broker) that explains the meaning of the code provided in the BusinessType Field.,,Award Recipient,A = State Government B = County Government C = City or Township Government D = Special District Government E = Regional Organization F = U.S. Territory or Possession G = Independent School District H = Public/State Controlled Institution of Higher Education I = Indian/Native American Tribal Government (Federally -Recognized) J = Indian/Native American Tribal Government (Other than Federally-Recognized) K = Indian/Native American Tribal Designated Organization L = Public/Indian Housing Authority M = Nonprofit with 501C3 IRS Status (Other than an Institution of Higher Education) N = Nonprofit without 501C3 IRS Status (Other than an Institution of Higher Education) O = Private Institution of Higher Education P = Individual Q = For-Profit Organization (Other than Small Business) R = Small Business S = Hispanic-serving Institution T = Historically Black College or University (HBCU) U = Tribally Controlled College or University (TCCU) V = Alaska Native and Native Hawaiian Serving Institutions W = Non-domestic (non-U.S.) Entity X = OtherRead Less,A= The recipient is a U.S. state government. B = The recipient is a U.S. county government. C = The recipient is a U.S. city or township government. D = The recipient is a special district government. See https://www.census.gov/govs/go/special_district_governments.html for more information. E = The recipient is a U.S. regional organization. F = The recipient is a U.S. territory or possession G = The recipient is a U.S. independent school district H = The recipient is a U.S. Public/State Controlled Institution of Higher Education I = The recipient is an Indian/Native American Tribal Government (Federally Recognized) J = The recipient is an Indian/Native American Tribal Government (Other than Federally Recognized) K = The recipient is an Indian/Native American Tribal Designated Organization L = The recipient is a Public/Indian Housing Authority M = The recipient is a Nonprofit with 501C3 IRS Status (Other than an Institution of Higher Education) N = The recipient is a Nonprofit without 501C3 IRS Status (Other than an Institution of Higher Education) O = The recipient is a Private Institution of Higher Education P = The recipient is an Individual Q = The recipient is a For-Profit Organization (Other than Small Business) R = The recipient is a Small Business S = The recipient is an Hispanic-serving Institution T = The recipient is a Historically Black College and University (HBCUs) U = The recipient is a Tribally Controlled College or University (TCCUs) V = The recipient is a Alaska Native and Native Hawaiian Serving Institutions W = The recipient is a Non-domestic (non-U.S.) Entity X = The recipient is not covered under any of the other categories above.Read Less
ByDirectReimbursableFundingSource,A code that holds an attribute flag which specifies that the funding source of the associated data value is either a Direct or Reimbursable Funding Source.,,Account Breakdown,D = Direct R = Reimbursable,
CAGECode,The CAGE Code of the entity. Used as a key to SAM. Maps to the Unique Entity ID.,CAGE Code,Award Recipient,,
CityLocalGovernment,https://www.sam.gov,City Local Government,Award Recipient,F = False T = True,
Clinger-Cohen Act Planning Compliance Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Clinger-Cohen Act Planning Compliance Field.,,Award Attribute,Y = Yes N = No,Y = Transaction is subject to the Clinger Cohen Act compliance N = Transaction is not subject to the Clinger Cohen Act compliance
Clinger-CohenActPlanningCompliance,A code indicating the funding office has certified that the information technology purchase meets the planning requirements in 40 USC 11312 & 40 USC 11313.,Clinger-Cohen Act Planning Compliance,Award Attribute,Y = Yes N = No,Y = Transaction is subject to the Clinger Cohen Act compliance N = Transaction is not subject to the Clinger Cohen Act compliance
Commercial Item Acquisition Procedures Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Commercial Item Acquisition Procedures Field.,,Award Attribute,A = COMMERCIAL ITEM B = SUPPLIES OR SERVICES PURSUANT TO FAR 12.102(F) C = SERVICES PURSUANT TO FAR 12.102(G) D = COMMERCIAL ITEM PROCEDURES NOT USED,"A = Select this value when the action is for a commercial item using FAR Part 12 commercial item procedures. B = Select this value for any acquisition of supplies or services, determined by the head of the agency, to be used to facilitate defense against or recovery from nuclear, biological, chemical, or radiological attack pursuant to FAR 12.102(f) that uses commercial item procedures. C = Select this value for any acquisition of services that does not meet the definition of commercial item but meets the criteria in FAR 12.102(g). Specifically, (i) Is entered into on or before November 24, 2013; (ii) Has a value of $27 million or less; (iii) Meets the definition of performance-based acquisition at FAR 2.101; (iv) Uses a quality assurance surveillance plan; (v) Includes performance incentives where appropriate; (vi) Specifies a firm-fixed price for specific tasks to be performed or outcomes to be achieved; and (vii) Is awarded to an entity that provides similar services to the general public under terms and conditions similar to those in the contract or taskorder. D = Select this value when commercial item procedures were not used.Read Less"
Commercial Item Test Program Description Tag,Description tag (by way of the FPDS Atom Feed) that explains the meaning of the code provided in the Commercial Item Test Program Field.,,Award Attribute,Y = Yes N = No,
CommercialItemAcquisitionProcedures,Designates whether the solicitation used the special requirements for the acquisition of commercial items (or other supplies or services authorized to use commercial item procedures) intended to more closely resemble those customarily used in the commercial marketplace as defined by FAR Part 12.Read Less,Commercial Item Acquisition Procedures,Award Attribute,A = COMMERCIAL ITEM B = SUPPLIES OR SERVICES PURSUANT TO FAR 12.102(F) C = SERVICES PURSUANT TO FAR 12.102(G) D = COMMERCIAL ITEM PROCEDURES NOT USED,"A = Select this value when the action is for a commercial item using FAR Part 12 commercial item procedures. B = Select this value for any acquisition of supplies or services, determined by the head of the agency, to be used to facilitate defense against or recovery from nuclear, biological, chemical, or radiological attack pursuant to FAR 12.102(f) that uses commercial item procedures. C = Select this value for any acquisition of services that does not meet the definition of commercial item but meets the criteria in FAR 12.102(g). Specifically, (i) Is entered into on or before November 24, 2013; (ii) Has a value of $27 million or less; (iii) Meets the definition of performance-based acquisition at FAR 2.101; (iv) Uses a quality assurance surveillance plan; (v) Includes performance incentives where appropriate; (vi) Specifies a firm-fixed price for specific tasks to be performed or outcomes to be achieved; and (vii) Is awarded to an entity that provides similar services to the general public under terms and conditions similar to those in the contract or taskorder. D = Select this value when commercial item procedures were not used.Read Less"
CommunityDevelopedCorporationOwnedFirm,https://www.sam.gov,Community Developed Corporation Owned Firm,Award Recipient,F = False T = True,
CommunityDevelopmentCorporation,https://www.sam.gov,Community Development Corporation,Award Recipient,F = False T = True,
